Membership No  Date Joined  Active  
    64593      2018-8-1     yes   
    76256      2015-5-20    no    
    18821      2019-9-18    no    
    20214      2020-5-11    no    
    78044      2015-10-3    no    
    78665      2017-5-20    yes   
    83762      2020-11-2    yes   
    18827      2017-11-23   yes   
    40104      2019-8-11    no    
    83840      2017-7-14    yes   
    17879      2018-8-12    no    
    60187      2019-9-4     no    
    75895      2016-10-13   yes   
    94040      2018-3-8     yes   
    59989      2018-5-22    no    
    29060      2018-8-13    no    
    22347      2020-4-2     no    
    45393      2019-1-12    no    
    28485      2015-6-2     no    
    75140      2018-1-14    no    
